Disease,Number,Sponsor,Phase,Study Type,URL
Primary Myelofibrosis,NCT01790295,John Mascarenhas,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01790295
Ependymoma,NCT01795313,"Ian F. Pollack, M.D.",Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01795313
Kidney Cancer,NCT03666104,"Ceevra, Inc.",N/A,Interventional,https://clinicaltrials.gov/show/NCT03666104
Hodgkin Lymphoma,NCT03664323,Hospices Civils de Lyon,None,Observational,https://clinicaltrials.gov/show/NCT03664323
Kidney Cancer,NCT00100906,H. Lee Moffitt Cancer Center and Research Institute,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00100906
Mesothelioma,NCT00101283,Eastern Cooperative Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00101283
Hodgkin Lymphoma,NCT01534078,Massachusetts General Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01534078
Mesothelioma,NCT02958683,Heart of England NHS Trust,None,Observational,https://clinicaltrials.gov/show/NCT02958683
Kidney Cancer,NCT02950766,"Patrick Ott, MD",Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02950766
Hodgkin Lymphoma,NCT02955043,"University of Wisconsin, Madison",N/A,Interventional,https://clinicaltrials.gov/show/NCT02955043
Cholangiocarcinoma,NCT04568512,Mahidol University,N/A,Interventional,https://clinicaltrials.gov/show/NCT04568512
Pheochromocytoma,NCT04566406,Jagiellonian University,None,Observational,https://clinicaltrials.gov/show/NCT04566406
Hodgkin Lymphoma,NCT01030900,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01030900
Uveal Melanoma,NCT01034787,AHS Cancer Control Alberta,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01034787
Pheochromocytoma,NCT04320589,"National Cancer Institute, Egypt",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04320589
Kidney Cancer,NCT04329767,Intuitive Surgical,None,Observational,https://clinicaltrials.gov/show/NCT04329767
Kidney Cancer,NCT04322955,Mark Stein,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04322955
Primary Myelofibrosis,NCT02055781,CTI BioPharma,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT02055781
Cholangiocarcinoma,NCT02052778,"Taiho Oncology, Inc.",Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02052778
Cholangiocarcinoma,NCT03003065,Chinese University of Hong Kong,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03003065
Kidney Cancer,NCT00293501,University of Vermont,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00293501
Mesothelioma,NCT00295503,University of Texas Southwestern Medical Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00295503
Kidney Cancer,NCT00263107,"University of California, Davis",None,Observational,https://clinicaltrials.gov/show/NCT00263107
Fallopian Tube Cancer,NCT00263822,European Organisation for Research and Treatment of Cancer - EORTC,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00263822
Kidney Cancer,NCT00262886,University of Rochester,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00262886
Chondrosarcoma,NCT01182753,Heidelberg University,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT01182753
Kidney Cancer,NCT01185366,M.D. Anderson Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01185366
Adrenocortical Carcinoma,NCT01514526,Spanish Oncology Genito-Urinary Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01514526
Mesothelioma,NCT03560973,Gruppo Oncologico Italiano di Ricerca Clinica,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03560973
Kidney Cancer,NCT03568435,Bristol-Myers Squibb,None,Observational,https://clinicaltrials.gov/show/NCT03568435
Leiomyosarcoma,NCT02983539,AC Camargo Cancer Center,None,Observational,https://clinicaltrials.gov/show/NCT02983539
Cholangiocarcinoma,NCT03211169,Stanford University,N/A,Interventional,https://clinicaltrials.gov/show/NCT03211169
Kidney Cancer,NCT00118326,Fred Hutchinson Cancer Research Center,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00118326
Fallopian Tube Cancer,NCT00112957,Ludwig Institute for Cancer Research,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00112957
Fallopian Tube Cancer,NCT00114166,Gynecologic Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00114166
Male Breast Cancer,NCT00119262,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00119262
Mucosal Melanoma,NCT00110019,National Cancer Institute (NCI),Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00110019
Thymoma,NCT01621568,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01621568
Mesothelioma,NCT01627795,Oshadi Drug Administration,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01627795
Mesothelioma,NCT03531840,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03531840
Kidney Cancer,NCT03534206,"Ceevra, Inc.",N/A,Interventional,https://clinicaltrials.gov/show/NCT03534206
Thymic Carcinoma,NCT01011439,"Tiziana Life Sciences, PLC",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01011439
Kidney Cancer,NCT00025376,University of Chicago,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00025376
Fallopian Tube Cancer,NCT00028912,Memorial Sloan Kettering Cancer Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00028912
Pheochromocytoma,NCT00028106,Eunice Kennedy Shriver National Institute of Child Health and Human Development (NICHD),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00028106
Male Breast Cancer,NCT00028535,National Cancer Institute (NCI),Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00028535
Fallopian Tube Cancer,NCT00021034,Memorial Sloan Kettering Cancer Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00021034
Kidney Cancer,NCT00021021,Ribozyome,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00021021
Kidney Cancer,NCT00024388,Theradex,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00024388
Juvenile Myelomonocytic Leukemia,NCT00025038,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00025038
Kidney Cancer,NCT00027573,Alliance for Clinical Trials in Oncology,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00027573
Kaposi's Sarcoma,NCT00026793,National Cancer Institute (NCI),None,Observational,https://clinicaltrials.gov/show/NCT00026793
Fallopian Tube Cancer,NCT00022347,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00022347
Kidney Cancer,NCT00025103,Children's Cancer and Leukaemia Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00025103
Kidney Cancer,NCT00027664,Cancer Research UK,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00027664
Male Breast Cancer,NCT00024154,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00024154
Kidney Cancer,NCT00025519,Fox Chase Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00025519
Kaposi's Sarcoma,NCT00026728,National Cancer Institute (NCI),None,Observational,https://clinicaltrials.gov/show/NCT00026728
Fallopian Tube Cancer,NCT00028743,NCIC Clinical Trials Group,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00028743
Kidney Cancer,NCT00020540,National Cancer Institute (NCI),Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00020540
HODGKIN LYMPHOMA,NCT00795613,Ospedale Santa Croce-Carle Cuneo,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00795613
Cholangiocarcinoma,NCT00797121,Sun Yat-sen University,Phase 4,Interventional,https://clinicaltrials.gov/show/NCT00797121
Mesothelioma,NCT00794859,King's College London,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00794859
Cutaneous T Cell Lymphoma,NCT01663571,NYU Langone Health,None,Observational,https://clinicaltrials.gov/show/NCT01663571
Kidney Cancer,NCT00967577,Weill Medical College of Cornell University,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00967577
Thymoma,NCT00965250,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00965250
Thymoma,NCT00965627,Istituto Clinico Humanitas,None,Observational,https://clinicaltrials.gov/show/NCT00965627
Hodgkin Lymphoma,NCT04026269,Han weidong,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04026269
Kidney Cancer,NCT04021238,UNC Lineberger Comprehensive Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04021238
Cutaneous T Cell Lymphoma,NCT03385226,"University College, London",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03385226
Plasma Cell Leukemia,NCT03389347,University of Washington,N/A,Interventional,https://clinicaltrials.gov/show/NCT03389347
Dermatofibrosarcoma Protuberans,NCT03381846,Mayo Clinic,N/A,Interventional,https://clinicaltrials.gov/show/NCT03381846
Pleuropulmonary Blastoma,NCT03382158,Children's Hospitals and Clinics of Minnesota,None,Observational,https://clinicaltrials.gov/show/NCT03382158
Hodgkin Lymphoma,NCT03383965,"Immune Cell, Inc.",Phase 1,Interventional,https://clinicaltrials.gov/show/NCT03383965
Mesothelioma,NCT01362790,National Cancer Institute (NCI),Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01362790
Thymoma,NCT01364727,Heather Wakelee,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01364727
Cholangiocarcinoma,NCT01912053,Center Eugene Marquis,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01912053
Ependymoma,NCT01295944,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01295944
Primary Myelofibrosis,NCT01298934,Ronald Hoffman,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01298934
Fallopian Tube Cancer,NCT00803569,Ludwig Institute for Cancer Research,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00803569
Kidney Cancer,NCT00806650,City of Hope Medical Center,None,Observational,https://clinicaltrials.gov/show/NCT00806650
T-Cell Lymphoma,NCT04331119,Washington University School of Medicine,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04331119
Mesothelioma,NCT04334759,"PrECOG, LLC.",Phase 3,Interventional,https://clinicaltrials.gov/show/NCT04334759
Kidney Cancer,NCT04337970,Memorial Sloan Kettering Cancer Center,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04337970
Alveolar Soft Part Sarcoma,NCT03016819,"Advenchen Laboratories, LLC",Phase 3,Interventional,https://clinicaltrials.gov/show/NCT03016819
Adrenocortical Carcinoma,NCT04358107,National Cancer Institute (NCI),None,Observational,https://clinicaltrials.gov/show/NCT04358107
Cholangiocarcinoma,NCT02665494,Fondazione del Piemonte per l'Oncologia,None,Observational,https://clinicaltrials.gov/show/NCT02665494
Adenoid Cystic Carcinoma,NCT02662608,M.D. Anderson Cancer Center,N/A,Interventional,https://clinicaltrials.gov/show/NCT02662608
Hodgkin Lymphoma,NCT02665650,Affimed GmbH,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02665650
T-cell Lymphoma,NCT04234048,"SciTech Development, LLC",Phase 1,Interventional,https://clinicaltrials.gov/show/NCT04234048
Hodgkin Lymphoma,NCT04233294,Chinese PLA General Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04233294
Penile Cancer,NCT04231981,MedSIR,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04231981
Cholangiocarcinoma,NCT04238715,"Eisai Co., Ltd.",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04238715
Hodgkin Lymphoma,NCT04239170,Peking University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04239170
Kidney Cancer,NCT00316901,National Institutes of Health Clinical Center (CC),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00316901
Thymic Carcinoma,NCT00314873,Indiana University School of Medicine,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00314873
Kidney Cancer,NCT00311545,Southwest Oncology Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00311545
Kidney Cancer,NCT00126178,Agenus Inc.,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00126178
Fallopian Tube Cancer,NCT00126542,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00126542
Mesothelioma,NCT00128102,Merck Sharp & Dohme Corp.,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00128102
Pheochromocytoma,NCT00126412,GE Healthcare,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00126412
Ependymoma,NCT01088035,Ann & Robert H Lurie Children's Hospital of Chicago,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01088035
Male Breast Cancer,NCT01084057,City of Hope Medical Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01084057
Kidney Cancer,NCT03804320,IRCCS San Raffaele,N/A,Interventional,https://clinicaltrials.gov/show/NCT03804320
Hodgkin Lymphoma,NCT03407144,Merck Sharp & Dohme Corp.,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03407144
Uveal Melanoma,NCT03408587,Viralytics,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT03408587
Cholangiocarcinoma,NCT00604266,University of Toronto,None,Observational,https://clinicaltrials.gov/show/NCT00604266
Mesothelioma,NCT00604461,H. Lee Moffitt Cancer Center and Research Institute,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00604461
Hodgkin Lymphoma,NCT00606645,"Xencor, Inc.",Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00606645
Kidney Cancer,NCT00601926,Paul Monk,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00601926
Fallopian Tube Cancer,NCT01281254,Amgen,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT01281254
Fallopian Tube Cancer,NCT01281514,Fox Chase Cancer Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01281514
Mesothelioma,NCT01281800,Institute of Oncology Ljubljana,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01281800
Hodgkin Lymphoma,NCT01764230,Masaryk University,N/A,Interventional,https://clinicaltrials.gov/show/NCT01764230
Uveal Melanoma,NCT00811200,Leiden University Medical Center,Phase 2/Phase 3,Interventional,https://clinicaltrials.gov/show/NCT00811200
Thymoma,NCT00818090,Korean Cancer Study Group,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00818090
Kidney Cancer,NCT00814021,Institut Claudius Regaud,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00814021
Mesothelioma,NCT02467426,Medias Klinikum for Surgical Oncology,None,Observational,https://clinicaltrials.gov/show/NCT02467426
Mesothelioma,NCT02464904,Mayo Clinic,N/A,Interventional,https://clinicaltrials.gov/show/NCT02464904
Mesothelioma,NCT03207347,University of Florida,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03207347
T-cell Lymphoma,NCT03207789,Grupo de Estudos Multicentricos em Onco-Hematologia,None,Observational [Patient Registry],https://clinicaltrials.gov/show/NCT03207789
Pheochromocytoma,NCT03206060,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03206060
Pancreatic Neuroendocrine Tumor,NCT03204019,Chinese Academy of Medical Sciences,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03204019
Primary Myelofibrosis,NCT01773187,CTI BioPharma,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT01773187
Kidney Cancer,NCT01775930,M.D. Anderson Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01775930
Kidney Cancer,NCT00425386,OHSU Knight Cancer Institute,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00425386
Male Breast Cancer,NCT00425672,University of Washington,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00425672
Mucosal Melanoma,NCT00424515,Dana-Farber Cancer Institute,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00424515
Fallopian Tube Cancer,NCT00429793,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00429793
Kaposi's Sarcoma,NCT00339326,National Cancer Institute (NCI),None,Observational,https://clinicaltrials.gov/show/NCT00339326
Pheochromocytoma,NCT00339131,"Molecular Insight Pharmaceuticals, Inc.",Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00339131
Fallopian Tube Cancer,NCT00334893,National Cancer Institute (NCI),Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00334893
Kidney Cancer,NCT00331409,OHSU Knight Cancer Institute,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00331409
Fallopian Tube Cancer,NCT00331422,"Masonic Cancer Center, University of Minnesota",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00331422
Thymoma,NCT00332969,Novartis Pharmaceuticals,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00332969
Kidney Cancer,NCT03421418,"Ceevra, Inc.",N/A,Interventional,https://clinicaltrials.gov/show/NCT03421418
Primary Myelofibrosis,NCT03426969,M.D. Anderson Cancer Center,Early Phase 1,Interventional,https://clinicaltrials.gov/show/NCT03426969
Cutaneous T Cell Lymphoma,NCT00221039,M.D. Anderson Cancer Center,Phase 4,Interventional,https://clinicaltrials.gov/show/NCT00221039
Uveal Melanoma,NCT02223819,Columbia University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02223819
Hodgkin Lymphoma,NCT02227433,Fondazione Italiana Linfomi ONLUS,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02227433
Thymoma,NCT02220855,Patrick Joseph Loehrer Sr.,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02220855
Mesothelioma,NCT02798536,National Cancer Institute (NCI),Phase 1,Interventional,https://clinicaltrials.gov/show/NCT02798536
Hodgkin Lymphoma,NCT02795013,St. Jude Children's Research Hospital,None,Observational,https://clinicaltrials.gov/show/NCT02795013
Male Breast Cancer,NCT01720602,University of Washington,N/A,Interventional,https://clinicaltrials.gov/show/NCT01720602
Plasma Cell Leukemia,NCT01729091,M.D. Anderson Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01729091
Thymoma,NCT04162691,Zhejiang Cancer Hospital,None,Observational,https://clinicaltrials.gov/show/NCT04162691
Kidney Cancer,NCT04162834,Asan Medical Center,Phase 4,Interventional,https://clinicaltrials.gov/show/NCT04162834
Cholangiocarcinoma,NCT02548195,Shanghai Zhongshan Hospital,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT02548195
Cutaneous T Cell Lymphoma,NCT02546440,Universitätsmedizin Mannheim,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02546440
Plasma Cell Leukemia,NCT02547662,Mayo Clinic,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02547662
Thymic Carcinoma,NCT03583086,Vanderbilt-Ingram Cancer Center,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03583086
Hodgkin Lymphoma,NCT03580408,The Lymphoma Academic Research Organisation,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03580408
Cholangiocarcinoma,NCT03820310,"Newish Technology (Beijing) Co., Ltd.",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03820310
T-cell Lymphoma,NCT03829540,Stony Brook University,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT03829540
Kidney Cancer,NCT03824808,University of Missouri-Columbia,Phase 4,Interventional,https://clinicaltrials.gov/show/NCT03824808
Cholangiocarcinoma,NCT02520141,M.D. Anderson Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02520141
Cholangiocarcinoma,NCT01303159,Weill Medical College of Cornell University,N/A,Interventional,https://clinicaltrials.gov/show/NCT01303159
Angiosarcoma,NCT01303497,Centre Oscar Lambret,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01303497
Kidney Cancer,NCT03292549,"University Hospital, Bordeaux",None,Observational,https://clinicaltrials.gov/show/NCT03292549
Cutaneous T Cell Lymphoma,NCT03292406,Galderma R&D,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03292406
Kidney Cancer,NCT03293563,"University Hospital, Bordeaux",None,Observational,https://clinicaltrials.gov/show/NCT03293563
Thymoma,NCT03295227,M.D. Anderson Cancer Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT03295227
Hodgkin Lymphoma,NCT04373083,Regeneron Pharmaceuticals,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04373083
Adrenocortical Carcinoma,NCT04373265,Corcept Therapeutics,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT04373265
Primary Myelofibrosis,NCT04370301,Fred Hutchinson Cancer Research Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04370301
Hodgkin Lymphoma,NCT03968250,University of Leipzig,N/A,Interventional,https://clinicaltrials.gov/show/NCT03968250
Uveal Melanoma,NCT03964298,Institut Curie,None,Observational,https://clinicaltrials.gov/show/NCT03964298
Pancreatic Neuroendocrine Tumor,NCT03967951,Francesco De Cobelli,None,Observational,https://clinicaltrials.gov/show/NCT03967951
Hodgkin Lymphoma,NCT01251107,Fondazione Michelangelo,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT01251107
Cholangiocarcinoma,NCT01253148,H. Lee Moffitt Cancer Center and Research Institute,N/A,Interventional,https://clinicaltrials.gov/show/NCT01253148
Uveal Melanoma,NCT01252251,Memorial Sloan Kettering Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01252251
Kaposi's Sarcoma,NCT02029430,CytRx,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT02029430
Mesothelioma,NCT02029105,Eskisehir Osmangazi University,None,Observational,https://clinicaltrials.gov/show/NCT02029105
Kidney Cancer,NCT04120805,University of Chicago,N/A,Interventional,https://clinicaltrials.gov/show/NCT04120805
Adrenocortical Carcinoma,NCT01048892,Children's Oncology Group,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01048892
Male Breast Cancer,NCT01042535,H. Lee Moffitt Cancer Center and Research Institute,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01042535
Cholangiocarcinoma,NCT01043172,"National Cancer Center, Korea",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01043172
Penile Cancer,NCT04475016,Sun Yat-sen University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04475016
Kidney Cancer,NCT04472663,Bristol-Myers Squibb,None,Observational,https://clinicaltrials.gov/show/NCT04472663
Mucosal Melanoma,NCT04472806,Fudan University,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04472806
Primary Myelofibrosis,NCT01371617,"Infinity Pharmaceuticals, Inc.",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01371617
Plasma Cell Leukemia,NCT01372540,M.D. Anderson Cancer Center,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01372540
Pheochromocytoma,NCT01377532,"University of California, San Francisco",None,Expanded Access,https://clinicaltrials.gov/show/NCT01377532
Uveal Melanoma,NCT01377025,Prof. Dr. med. Max. E. Scheulen,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01377025
Pheochromocytoma,NCT01379898,University Medical Center Groningen,Phase 4,Interventional,https://clinicaltrials.gov/show/NCT01379898
Pheochromocytoma,NCT01373736,Vancouver Coastal Health,Phase 3,Interventional,https://clinicaltrials.gov/show/NCT01373736
Hodgkin Lymphoma,NCT03331731,"Peter MacCallum Cancer Centre, Australia",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03331731
Kidney Cancer,NCT03334344,"Ceevra, Inc.",N/A,Interventional,https://clinicaltrials.gov/show/NCT03334344
Angiosarcoma,NCT03331250,Massachusetts General Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03331250
Hodgkin Lymphoma,NCT03337919,"University College, London",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03337919
Primary Myelofibrosis,NCT03895112,John Mascarenhas,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT03895112
Leiomyosarcoma,NCT03526679,National Taiwan University Hospital,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT03526679
Fallopian Tube Cancer,NCT00897039,Southeastern Gynecologic Oncology,None,Observational,https://clinicaltrials.gov/show/NCT00897039
T-cell Lymphoma,NCT00893516,Emergent BioSolutions,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00893516
Mesothelioma,NCT00895648,"University Health Network, Toronto",Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00895648
Kidney Cancer,NCT00899860,Wake Forest University Health Sciences,None,Observational,https://clinicaltrials.gov/show/NCT00899860
Cholangiocarcinoma,NCT00630890,"University of California, San Francisco",Phase 1,Interventional,https://clinicaltrials.gov/show/NCT00630890
Cholangiocarcinoma,NCT04415190,"Central Hospital, Nancy, France",None,Observational,https://clinicaltrials.gov/show/NCT04415190
Hodgkin Lymphoma,NCT04419441,Ospedale Maggiore Di Trieste,None,Observational,https://clinicaltrials.gov/show/NCT04419441
Uveal Melanoma,NCT04417530,Aura Biosciences,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT04417530
Kidney Cancer,NCT04415697,Barretos Cancer Hospital,None,Observational,https://clinicaltrials.gov/show/NCT04415697
Hodgkin Lymphoma,NCT01056679,University of Cologne,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01056679
T-Cell Lymphoma,NCT01878708,Dana-Farber Cancer Institute,Early Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01878708
Cutaneous T Cell Lymphoma,NCT01676831,Abramson Cancer Center of the University of Pennsylvania,Phase 1/Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01676831
Cholangiocarcinoma,NCT01673802,University of Alabama at Birmingham,Early Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01673802
Fallopian Tube Cancer,NCT01670799,New Mexico Cancer Care Alliance,Early Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01670799
Hodgkin Lymphoma,NCT01393106,Gilead Sciences,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01393106
Cholangiocarcinoma,NCT01392274,Mauna Kea Technologies,None,Observational,https://clinicaltrials.gov/show/NCT01392274
Kidney Cancer,NCT01392183,M.D. Anderson Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01392183
Cholangiocarcinoma,NCT01522573,Weill Medical College of Cornell University,None,Observational,https://clinicaltrials.gov/show/NCT01522573
Cholangiocarcinoma,NCT01525069,Washington University School of Medicine,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01525069
Adrenocortical Carcinoma,NCT01528956,Children's Oncology Group,None,Observational,https://clinicaltrials.gov/show/NCT01528956
Mesothelioma,NCT01521325,Morphotek,Phase 1,Interventional,https://clinicaltrials.gov/show/NCT01521325
Adenoid Cystic Carcinoma,NCT01524692,University of Virginia,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01524692
Hodgkin Lymphoma,NCT01523847,Fondazione Italiana Linfomi ONLUS,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01523847
Cholangiocarcinoma,NCT01525719,Ratchavithi Hospital,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT01525719
Penile Cancer,NCT00512096,M.D. Anderson Cancer Center,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00512096
Kidney Cancer,NCT00514215,Barbara Ann Karmanos Cancer Institute,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00514215
Hodgkin Lymphoma,NCT00512980,University of Cologne,Phase 2,Interventional,https://clinicaltrials.gov/show/NCT00512980
